airport;day;number;status;quality;is_cargo;terminal;gate;scheduledTime;revisedTime;runwayTime;predictedTime;actualTime;estimatedTime
SVO;2026-09-01;B2 976;Departed;Basic+Live;0;C;144;2026-09-01 09:50+03:00;2026-09-01 09:50+03:00;2026-09-01 10:18+03:00;;;
SVO;2026-09-01;SU 6491;Departed;Basic+Live;0;B;113;2026-09-01 06:55+03:00;2026-09-01 09:53+03:00;2026-09-01 10:11+03:00;;;
SVO;2026-09-01;FV 6491;Departed;Basic+Live;0;B;113;2026-09-01 06:55+03:00;2026-09-01 09:53+03:00;2026-09-01 10:11+03:00;;;
SVO;2026-09-01;SU 1795;Departed;Basic+Live;0;B;114;2026-09-01 10:00+03:00;2026-09-01 09:59+03:00;2026-09-01 10:21+03:00;;;
SVO;2026-09-01;SU 2995;Canceled;Basic+Live;0;B;114;2026-09-01 10:00+03:00;2026-09-01 10:00+03:00;;;;
SVO;2026-09-01;SU 745;Canceled;Basic+Live;0;C;130;2026-09-01 05:55+03:00;2026-09-01 10:00+03:00;;;;
SVO;2026-09-01;SU 1218;Departed;Basic+Live;0;B;103;2026-09-01 10:05+03:00;2026-09-01 10:02+03:00;2026-09-01 10:24+03:00;;;
SVO;2026-09-01;SU 6371;Departed;Basic+Live;0;B;103;2026-09-01 10:05+03:00;2026-09-01 10:02+03:00;2026-09-01 10:24+03:00;;;
SVO;2026-09-01;FV 6371;Departed;Basic+Live;0;B;103;2026-09-01 10:05+03:00;2026-09-01 10:02+03:00;2026-09-01 10:24+03:00;;;
SVO;2026-09-01;SU 1188;Departed;Basic+Live;0;B;108;2026-09-01 10:05+03:00;2026-09-01 10:05+03:00;2026-09-01 10:27+03:00;;;
SVO;2026-09-01;SU 1460;Departed;Basic+Live;0;B;123;2026-09-01 10:05+03:00;2026-09-01 10:12+03:00;2026-09-01 10:29+03:00;;;
SVO;2026-09-01;SU 1262;Departed;Basic+Live;0;B;102;2026-09-01 10:20+03:00;2026-09-01 10:18+03:00;2026-09-01 10:36+03:00;;;
SVO;2026-09-01;SU 1946;Departed;Basic+Live;0;C;127;2026-09-01 09:40+03:00;2026-09-01 10:20+03:00;2026-09-01 10:38+03:00;;;
SVO;2026-09-01;DP 6843;Departed;Basic+Live;0;D;1;2026-09-01 09:05+03:00;2026-09-01 10:22+03:00;2026-09-01 10:34+03:00;;;
SVO;2026-09-01;SU 1312;Departed;Basic+Live;0;B;110;2026-09-01 10:25+03:00;2026-09-01 10:25+03:00;2026-09-01 10:46+03:00;;;
SVO;2026-09-01;SU 2126;Departed;Basic+Live;0;C;126;2026-09-01 10:30+03:00;2026-09-01 10:26+03:00;2026-09-01 10:44+03:00;;;
SVO;2026-09-01;FV 6057;Departed;Basic+Live;0;B;101;2026-09-01 10:30+03:00;2026-09-01 10:30+03:00;2026-09-01 10:40+03:00;;;
